,BEARING,mean_iwp,std_iwp,freq_iwp,mean_ted,std_ted,freq_ted,mean_species,std_species,freq_species,in_out,island,species,population_status,hum_pop,distant_hum_pop,group
147,20,89217.41123,10827.73658,887035,0.007278631,0.021576404,823235,14.922523,9.449264964,1253700,0,HAW,CORAL,1,185079,96224,9
148,30,88142.61526,12198.21578,911607,0.011264449,0.033565775,800638,15.70994115,9.924379021,1147662,0,HAW,CORAL,1,185079,96224,9
149,40,86308.57235,12444.16754,947191,0.018463104,0.053515481,765657,16.66205814,10.66103255,1278648,0,HAW,CORAL,1,185079,96224,9
150,50,84976.67635,12303.72685,1000398,0.045847732,0.10947991,649179,16.82664457,10.79203445,1174491,0,HAW,CORAL,1,185079,96224,9
151,60,82425.7223,13105.46915,1224917,0.150532524,0.306494874,624877,15.40604196,10.01409186,1256139,0,HAW,CORAL,1,185079,96224,9
152,70,77502.8774,13631.23767,1376308,0.316155708,0.540588867,585498,14.65377561,9.788120546,1508022,0,HAW,CORAL,1,185079,96224,9
153,80,72057.4232,12982.99227,1333651,0.489851093,0.706487565,543441,13.53521219,8.440423834,1461168,0,HAW,CORAL,1,185079,96224,9
154,90,65042.54663,13917.92831,1336223,0.633655341,0.85614663,507980,14.34048179,8.357846002,1485279,0,HAW,CORAL,1,185079,96224,9
155,100,58028.55622,16575.14938,1392269,0.74837,1.005972244,470532,15.00157483,9.40251923,1494720,0,HAW,CORAL,1,185079,96224,9
156,110,50952.25095,19194.55509,1393909,0.845119408,1.154795511,354199,14.89080157,10.02587718,1533834,0,HAW,CORAL,1,185079,96224,9
157,120,45074.8716,20799.92925,1389476,0.870290128,1.222282407,252316,15.004254,10.48772339,1435599,0,HAW,CORAL,1,185079,96224,9
158,130,38729.01789,21536.73843,1077789,0.819766466,1.138816214,147274,14.66634352,10.68162234,1254195,0,HAW,CORAL,1,185079,96224,9
159,140,34178.84455,19702.76556,916135,0.566168862,0.854147658,149236,16.38147886,11.9011606,989505,0,HAW,CORAL,1,185079,96224,9
160,150,34628.48173,19039.40554,912902,0.472260049,0.703509448,179711,19.33615605,13.59753179,889362,0,HAW,CORAL,1,185079,96224,9
